"BehaviorSpace results (NetLogo 6.2.0)"
"firefightersRTM.nlogo"
"experiment"
"09/07/2022 19:11:50:871 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","29","0","29"
"[run number]","nb-firefighters","propforest","communication?","nb-groups","[step]","count patches with [state = ""burned""]"
"591","12","10","true","12","42","3"
"549","12","10","true","12","694","1"
"587","12","10","true","12","134","2"
"588","12","10","true","12","122","2"
"572","12","10","true","12","262","1"
"584","12","10","true","12","249","1"
"595","12","10","true","12","42","4"
"594","12","10","true","12","50","3"
"598","12","10","true","12","9","1"
"590","12","10","true","12","163","1"
"600","12","10","true","12","9","1"
"593","12","10","true","12","107","1"
"601","12","20","true","1","10","1"
"597","12","10","true","12","36","1"
"589","12","10","true","12","214","3"
"605","12","20","true","1","37","4"
"602","12","20","true","1","50","2"
"607","12","20","true","1","3","1"
"603","12","20","true","1","51","1"
"604","12","20","true","1","46","3"
"596","12","10","true","12","106","1"
"609","12","20","true","1","14","2"
"599","12","10","true","12","73","3"
"592","12","10","true","12","206","2"
"612","12","20","true","1","45","3"
"614","12","20","true","1","52","1"
"606","12","20","true","1","98","3"
"610","12","20","true","1","74","1"
"615","12","20","true","1","24","3"
"620","12","20","true","1","1","1"
"621","12","20","true","1","1","1"
"611","12","20","true","1","81","1"
"616","12","20","true","1","39","1"
"623","12","20","true","1","8","3"
"622","12","20","true","1","17","5"
"624","12","20","true","1","11","9"
"626","12","20","true","1","7","4"
"627","12","20","true","1","46","3"
"619","12","20","true","1","53","3"
"625","12","20","true","1","59","1"
"613","12","20","true","1","162","1"
"629","12","20","true","1","30","2"
"633","12","20","true","1","10","2"
"634","12","20","true","1","7","4"
"630","12","20","true","1","74","1"
"636","12","20","true","1","19","1"
"637","12","20","true","1","5","3"
"617","12","20","true","1","211","1"
"639","12","20","true","1","42","1"
"628","12","20","true","1","214","4"
"638","12","20","true","1","47","1"
"642","12","20","true","1","9","4"
"618","12","20","true","1","160","1"
"640","12","20","true","1","63","1"
"608","12","20","true","1","416","1"
"645","12","20","true","1","36","2"
"646","12","20","true","1","14","3"
"643","12","20","true","1","113","4"
"644","12","20","true","1","126","2"
"648","12","20","true","1","75","4"
"651","12","20","true","1","5","3"
"631","12","20","true","1","299","3"
"632","12","20","true","1","347","3"
"654","12","20","true","1","19","2"
"652","12","20","true","1","52","1"
"650","12","20","true","1","66","4"
"641","12","20","true","1","239","2"
"657","12","20","true","1","13","1"
"653","12","20","true","1","58","1"
"660","12","20","true","1","2","1"
"658","12","20","true","1","47","5"
"647","12","20","true","1","223","4"
"659","12","20","true","1","76","12"
"655","12","20","true","1","139","3"
"665","12","20","true","1","13","1"
"661","12","20","true","1","96","1"
"667","12","20","true","1","3","1"
"635","12","20","true","1","457","3"
"669","12","20","true","1","1","1"
"656","12","20","true","1","147","1"
"668","12","20","true","1","17","2"
"662","12","20","true","1","108","2"
"670","12","20","true","1","33","1"
"673","12","20","true","1","12","2"
"671","12","20","true","1","36","3"
"676","12","20","true","1","29","1"
"649","12","20","true","1","351","1"
"666","12","20","true","1","101","4"
"677","12","20","true","1","4","1"
"680","12","20","true","1","7","1"
"675","12","20","true","1","76","1"
"672","12","20","true","1","103","1"
"679","12","20","true","1","37","3"
"683","12","20","true","1","11","8"
"684","12","20","true","1","6","2"
"681","12","20","true","1","42","8"
"685","12","20","true","1","9","2"
"682","12","20","true","1","40","3"
"689","12","20","true","1","6","2"
"690","12","20","true","1","7","3"
"688","12","20","true","1","42","1"
"692","12","20","true","1","7","1"
"687","12","20","true","1","54","1"
"691","12","20","true","1","45","1"
"663","12","20","true","1","231","1"
"695","12","20","true","1","10","3"
"686","12","20","true","1","119","5"
"697","12","20","true","1","12","3"
"693","12","20","true","1","66","2"
"699","12","20","true","1","16","4"
"698","12","20","true","1","32","1"
"700","12","20","true","1","16","2"
"702","12","20","true","2","2","1"
"701","12","20","true","2","11","1"
"704","12","20","true","2","15","2"
"705","12","20","true","2","9","4"
"696","12","20","true","1","84","1"
"703","12","20","true","2","32","1"
"707","12","20","true","2","16","4"
"710","12","20","true","2","6","2"
"708","12","20","true","2","28","4"
"712","12","20","true","2","17","4"
"674","12","20","true","1","314","1"
"711","12","20","true","2","28","4"
"713","12","20","true","2","7","7"
"706","12","20","true","2","100","3"
"716","12","20","true","2","33","2"
"715","12","20","true","2","115","1"
"718","12","20","true","2","88","3"
"714","12","20","true","2","154","2"
"709","12","20","true","2","201","1"
"720","12","20","true","2","17","1"
"678","12","20","true","1","470","4"
"717","12","20","true","2","122","13"
"722","12","20","true","2","25","5"
"723","12","20","true","2","26","1"
"725","12","20","true","2","9","2"
"728","12","20","true","2","2","1"
"727","12","20","true","2","29","8"
"719","12","20","true","2","94","4"
"731","12","20","true","2","15","1"
"729","12","20","true","2","64","2"
"721","12","20","true","2","90","5"
"730","12","20","true","2","40","1"
"732","12","20","true","2","20","5"
"733","12","20","true","2","78","2"
"724","12","20","true","2","178","1"
"738","12","20","true","2","15","2"
"694","12","20","true","1","535","1"
"739","12","20","true","2","4","1"
"741","12","20","true","2","6","3"
"726","12","20","true","2","190","4"
"743","12","20","true","2","16","1"
"737","12","20","true","2","78","1"
"734","12","20","true","2","161","1"
"746","12","20","true","2","3","1"
"745","12","20","true","2","30","1"
"742","12","20","true","2","64","2"
"740","12","20","true","2","84","8"
"744","12","20","true","2","66","1"
"747","12","20","true","2","75","2"
"751","12","20","true","2","10","1"
"735","12","20","true","2","243","1"
"749","12","20","true","2","74","3"
"754","12","20","true","2","33","5"
"752","12","20","true","2","39","7"
"757","12","20","true","2","15","6"
"756","12","20","true","2","23","2"
"755","12","20","true","2","54","1"
"760","12","20","true","2","9","1"
"750","12","20","true","2","112","3"
"736","12","20","true","2","192","5"
"762","12","20","true","2","40","2"
"761","12","20","true","2","88","4"
"748","12","20","true","2","152","2"
"764","12","20","true","2","48","5"
"664","12","20","true","1","1113","1"
"759","12","20","true","2","137","1"
"767","12","20","true","2","27","2"
"770","12","20","true","2","6","2"
"769","12","20","true","2","51","6"
"766","12","20","true","2","88","1"
"763","12","20","true","2","192","1"
"774","12","20","true","2","5","2"
"773","12","20","true","2","14","1"
"765","12","20","true","2","116","2"
"753","12","20","true","2","276","2"
"772","12","20","true","2","31","3"
"777","12","20","true","2","12","2"
"779","12","20","true","2","43","3"
"781","12","20","true","2","13","5"
"758","12","20","true","2","300","9"
"780","12","20","true","2","40","1"
"775","12","20","true","2","106","3"
"776","12","20","true","2","86","3"
"784","12","20","true","2","5","2"
"786","12","20","true","2","7","2"
"787","12","20","true","2","11","2"
"771","12","20","true","2","144","1"
"783","12","20","true","2","44","3"
"768","12","20","true","2","208","3"
"789","12","20","true","2","49","1"
"791","12","20","true","2","35","1"
"790","12","20","true","2","66","1"
"778","12","20","true","2","176","5"
"782","12","20","true","2","152","1"
"785","12","20","true","2","42","3"
"796","12","20","true","2","51","3"
"794","12","20","true","2","77","2"
"800","12","20","true","2","13","1"
"792","12","20","true","2","128","1"
"801","12","20","true","3","7","2"
"798","12","20","true","2","56","1"
"804","12","20","true","3","44","1"
"799","12","20","true","2","79","1"
"805","12","20","true","3","38","8"
"803","12","20","true","3","133","4"
"808","12","20","true","3","2","2"
"806","12","20","true","3","89","1"
"807","12","20","true","3","65","3"
"811","12","20","true","3","9","3"
"809","12","20","true","3","46","1"
"813","12","20","true","3","11","3"
"810","12","20","true","3","67","2"
"815","12","20","true","3","13","2"
"812","12","20","true","3","79","2"
"793","12","20","true","2","355","2"
"816","12","20","true","3","17","2"
"819","12","20","true","3","6","1"
"818","12","20","true","3","22","8"
"821","12","20","true","3","10","2"
"814","12","20","true","3","110","2"
"823","12","20","true","3","6","3"
"824","12","20","true","3","7","1"
"825","12","20","true","3","5","4"
"802","12","20","true","3","287","1"
"822","12","20","true","3","130","1"
"820","12","20","true","3","162","1"
"828","12","20","true","3","12","4"
"795","12","20","true","2","545","1"
"829","12","20","true","3","34","2"
"788","12","20","true","2","574","3"
"832","12","20","true","3","10","3"
"834","12","20","true","3","2","1"
"833","12","20","true","3","9","4"
"835","12","20","true","3","11","5"
"830","12","20","true","3","58","5"
"837","12","20","true","3","18","5"
"797","12","20","true","2","603","1"
"839","12","20","true","3","12","2"
"838","12","20","true","3","33","4"
"840","12","20","true","3","7","1"
"827","12","20","true","3","187","1"
